Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
June 30 2024,Whitman,WA,Truck,11,0,11,8465,8476,0.13
August 31 2021,Fulton,GA,Passenger,0,1,1,85,86,1.16
November 30 2020,Williamson,TX,Passenger,0,2,2,137,139,1.44
March 31 2021,Queens,NY,Passenger,2,0,2,52,54,3.70
January 31 2022,Garfield,WA,Truck,0,0,0,994,994,0.00
July 31 2017,Gwinnett,GA,Passenger,0,1,1,86,87,1.15
February 28 2021,Pacific,WA,Passenger,37,38,75,15806,15881,0.47
April 30 2023,St. Clair,IL,Passenger,1,0,1,110,111,0.90
March 31 2020,Multnomah,OR,Passenger,4,7,11,752,763,1.44
November 30 2017,Carroll,NH,Passenger,0,1,1,1,2,50.00
January 31 2023,Lincoln,WA,Passenger,14,19,33,7756,7789,0.42
January 31 2022,Douglas,CO,Passenger,0,1,1,89,90,1.11
February 28 2018,Kitsap,WA,Truck,1,0,1,52843,52844,0.00
September 30 2022,Sarpy,NE,Passenger,1,0,1,66,67,1.49
April 30 2023,El Paso,CO,Passenger,3,2,5,527,532,0.94
October 31 2022,Douglas,WA,Truck,2,0,2,12807,12809,0.02
August 31 2021,Richland,SC,Passenger,0,1,1,142,143,0.70
October 31 2018,DeKalb,GA,Passenger,1,0,1,80,81,1.23
January 31 2021,Solano,CA,Passenger,1,0,1,201,202,0.50
February 28 2017,Grays Harbor,WA,Truck,0,0,0,19817,19817,0.00
April 30 2018,Orange,FL,Passenger,2,1,3,171,174,1.72
October 31 2023,Cumberland,NC,Passenger,1,3,4,313,317,1.26
April 30 2023,Sarpy,NE,Passenger,1,0,1,64,65,1.54
July 31 2020,Randolph,NC,Passenger,1,0,1,8,9,11.11
December 31 2019,Stevens,WA,Truck,0,0,0,18755,18755,0.00
March 31 2019,Grant,WA,Truck,0,0,0,26330,26330,0.00
October 31 2020,Charleston,SC,Passenger,2,0,2,96,98,2.04
September 30 2018,Queens,NY,Passenger,1,0,1,62,63,1.59
January 31 2023,Skagit,WA,Truck,11,0,11,32060,32071,0.03
June 30 2020,Wahkiakum,WA,Passenger,6,6,12,2991,3003,0.40
October 31 2018,Duval,FL,Passenger,1,2,3,382,385,0.78
February 29 2024,Sacramento,CA,Passenger,1,1,2,140,142,1.41
April 30 2023,Portsmouth,VA,Passenger,0,1,1,67,68,1.47
May 31 2022,York,VA,Passenger,1,0,1,88,89,1.12
May 31 2022,Walla Walla,WA,Passenger,171,96,267,35939,36206,0.74
September 30 2022,Skamania,WA,Truck,0,0,0,3903,3903,0.00
June 30 2020,Douglas,WA,Truck,0,0,0,12303,12303,0.00
September 30 2020,Franklin,WA,Truck,0,0,0,20282,20282,0.00
December 31 2023,Essex,MA,Passenger,1,0,1,11,12,8.33
February 28 2023,King,WA,Passenger,50976,12797,63773,1327956,1391729,4.58
January 31 2019,Santa Clara,CA,Passenger,8,1,9,380,389,2.31
March 31 2019,Richland,SC,Passenger,0,1,1,168,169,0.59
February 28 2023,Norfolk,MA,Passenger,1,0,1,22,23,4.35
December 31 2018,Lewis,WA,Truck,0,0,0,25633,25633,0.00
January 31 2022,Allen,IN,Passenger,1,0,1,19,20,5.00
April 30 2020,Collier,FL,Passenger,1,0,1,21,22,4.55
July 31 2022,Howard,IN,Passenger,0,1,1,4,5,20.00
January 31 2017,Clark,WA,Passenger,673,426,1099,297784,298883,0.37
March 31 2019,Fairfax,VA,Passenger,4,1,5,801,806,0.62
May 31 2017,Anne Arundel,MD,Passenger,0,1,1,505,506,0.20
July 31 2017,Jefferson,WA,Truck,0,0,0,9410,9410,0.00
October 31 2019,Cumberland,NC,Passenger,0,2,2,503,505,0.40
February 28 2017,Middlesex,MA,Passenger,1,0,1,155,156,0.64
January 31 2024,Portsmouth,VA,Passenger,0,1,1,59,60,1.67
September 30 2021,Louisa,VA,Passenger,0,1,1,1,2,50.00
December 31 2021,Okanogan,WA,Passenger,69,45,114,26573,26687,0.43
December 31 2017,Skamania,WA,Truck,0,0,0,3896,3896,0.00
April 30 2020,Travis,TX,Passenger,3,1,4,197,201,1.99
December 31 2023,Cumberland,PA,Passenger,1,1,2,31,33,6.06
January 31 2018,Stevens,WA,Passenger,10,22,32,31597,31629,0.10
October 31 2019,San Juan,WA,Truck,0,0,0,5921,5921,0.00
March 31 2021,Maricopa,AZ,Passenger,5,7,12,1385,1397,0.86
April 30 2020,Deschutes,OR,Passenger,4,0,4,154,158,2.53
February 28 2022,Juneau,AK,Passenger,0,1,1,33,34,2.94
November 30 2021,Pierce,WA,Passenger,4128,2105,6233,556551,562784,1.11
July 31 2021,Cowlitz,WA,Truck,0,0,0,29102,29102,0.00
September 30 2022,Garfield,WA,Truck,0,0,0,966,966,0.00
May 31 2018,Allegheny,PA,Passenger,1,0,1,81,82,1.22
July 31 2020,Maui,HI,Passenger,2,0,2,36,38,5.26
August 31 2021,Cowlitz,WA,Passenger,237,152,389,72081,72470,0.54
December 31 2022,Walla Walla,WA,Passenger,201,105,306,35647,35953,0.85
January 31 2020,Pend Oreille,WA,Passenger,8,7,15,9466,9481,0.16
February 28 2022,Leavenworth,KS,Passenger,0,1,1,98,99,1.01
November 30 2021,Suffolk,VA,Passenger,1,0,1,123,124,0.81
July 31 2021,Carroll,MD,Passenger,0,1,1,18,19,5.26
September 30 2019,Clark,WA,Truck,0,0,0,80940,80940,0.00
February 28 2019,Columbia,WA,Passenger,2,2,4,2430,2434,0.16
May 31 2018,Yakima,WA,Truck,0,0,0,58329,58329,0.00
March 31 2017,Bergen,NJ,Passenger,0,2,2,32,34,5.88
May 31 2017,Wayne,MI,Passenger,0,1,1,71,72,1.39
May 31 2023,Brown,WI,Passenger,1,0,1,6,7,14.29
June 30 2020,Rogers,OK,Passenger,1,0,1,7,8,12.50
July 31 2020,Orange,CA,Passenger,7,2,9,503,512,1.76
June 30 2024,San Mateo,CA,Passenger,3,0,3,45,48,6.25
May 31 2021,Pierce,WA,Truck,0,0,0,145774,145774,0.00
May 31 2023,Ferry,WA,Passenger,20,4,24,4315,4339,0.55
January 31 2023,Clark,NV,Passenger,10,2,12,490,502,2.39
May 31 2020,Harris,TX,Passenger,1,0,1,268,269,0.37
January 31 2023,Salt Lake,UT,Passenger,1,1,2,135,137,1.46
May 31 2022,Ulster,NY,Passenger,1,0,1,14,15,6.67
May 31 2018,Fairfax,VA,Passenger,3,1,4,833,837,0.48
March 31 2021,Harris,TX,Passenger,1,1,2,244,246,0.81
April 30 2022,Washington,MD,Passenger,2,0,2,12,14,14.29
July 31 2021,Grant,WA,Passenger,120,90,210,66876,67086,0.31
June 30 2021,Ferry,WA,Truck,0,0,0,3643,3643,0.00
October 31 2019,Pima,AZ,Passenger,2,1,3,404,407,0.74
July 31 2020,Alameda,CA,Passenger,2,0,2,279,281,0.71
November 30 2020,Newport,RI,Passenger,0,1,1,83,84,1.19
March 31 2024,Shelby,AL,Passenger,1,0,1,4,5,20.00
April 30 2021,Hampshire,MA,Passenger,1,0,1,9,10,10.00
January 31 2023,Camden,NJ,Passenger,0,1,1,13,14,7.14
May 31 2022,Skagit,WA,Truck,2,0,2,32368,32370,0.01
February 29 2020,Chelan,WA,Truck,0,0,0,22568,22568,0.00
October 31 2018,Pend Oreille,WA,Truck,0,0,0,5755,5755,0.00
June 30 2018,Grays Harbor,WA,Passenger,52,58,110,46569,46679,0.24
July 31 2020,San Juan,WA,Passenger,311,94,405,13950,14355,2.82
December 31 2020,Washington,OR,Passenger,1,0,1,432,433,0.23
June 30 2020,Orange,CA,Passenger,7,2,9,512,521,1.73
May 31 2017,Tulare,CA,Passenger,1,0,1,194,195,0.51
January 31 2024,Burlington,NJ,Passenger,0,2,2,79,81,2.47
May 31 2020,Kent,MI,Passenger,0,1,1,27,28,3.57
January 31 2020,Fairfax,VA,Passenger,5,1,6,765,771,0.78
February 28 2022,Yellowstone,MT,Passenger,0,1,1,28,29,3.45
November 30 2021,Williams,ND,Passenger,0,1,1,8,9,11.11
May 31 2019,Okanogan,WA,Passenger,21,23,44,26060,26104,0.17
February 28 2021,Klickitat,WA,Passenger,65,45,110,14991,15101,0.73
September 30 2022,Whitman,WA,Truck,2,0,2,8574,8576,0.02
August 31 2018,Arlington,VA,Passenger,1,1,2,174,176,1.14
August 31 2019,Sangamon,IL,Passenger,1,0,1,6,7,14.29
March 31 2024,Prince George's,MD,Passenger,3,1,4,105,109,3.67
October 31 2022,San Juan,WA,Passenger,548,165,713,13962,14675,4.86
February 28 2017,Fairfax,VA,Passenger,3,2,5,871,876,0.57
April 30 2017,Middlesex,MA,Passenger,1,0,1,145,146,0.68
June 30 2022,Geary,KS,Passenger,1,0,1,86,87,1.15
August 31 2023,Leavenworth,KS,Passenger,0,1,1,80,81,1.23
November 30 2022,Howard,MD,Passenger,0,2,2,61,63,3.17
April 30 2024,Mason,WA,Passenger,604,250,854,45764,46618,1.83
February 29 2020,Grays Harbor,WA,Passenger,109,108,217,48361,48578,0.45
December 31 2021,Whitman,WA,Truck,0,0,0,8554,8554,0.00
August 31 2020,Clackamas,OR,Passenger,2,0,2,192,194,1.03
January 31 2022,Placer,CA,Passenger,2,0,2,79,81,2.47
March 31 2021,Orange,FL,Passenger,1,0,1,122,123,0.81
March 31 2020,Fairbanks North Star,AK,Passenger,0,1,1,102,103,0.97
September 30 2018,Monterey,CA,Passenger,0,1,1,191,192,0.52
July 31 2022,Goochland,VA,Passenger,3,2,5,145,150,3.33
March 31 2022,St. Mary's,MD,Passenger,1,0,1,205,206,0.49
May 31 2017,Morris,NJ,Passenger,1,0,1,24,25,4.00
November 30 2023,King,WA,Truck,963,2,965,173154,174119,0.55
February 28 2022,Tarrant,TX,Passenger,3,0,3,150,153,1.96
January 31 2017,Grant,WA,Passenger,16,21,37,60381,60418,0.06
September 30 2021,Fresno,CA,Passenger,1,0,1,184,185,0.54
February 28 2019,Wahkiakum,WA,Truck,0,0,0,1720,1720,0.00
March 31 2022,Pima,AZ,Passenger,1,1,2,277,279,0.72
September 30 2022,Washtenaw,MI,Passenger,0,1,1,28,29,3.45
February 28 2023,Lincoln,OR,Passenger,0,1,1,18,19,5.26
June 30 2019,Wahkiakum,WA,Passenger,2,2,4,3008,3012,0.13
June 30 2022,Wahkiakum,WA,Passenger,23,11,34,3069,3103,1.10
February 28 2023,Lake,IL,Passenger,1,0,1,133,134,0.75
November 30 2021,St. Clair,IL,Passenger,1,0,1,128,129,0.78
October 31 2021,Meade,KY,Passenger,1,0,1,26,27,3.70
May 31 2020,Montgomery,TX,Passenger,1,0,1,56,57,1.75
June 30 2020,Rockingham,NH,Passenger,1,0,1,22,23,4.35
April 30 2022,Thurston,WA,Passenger,2070,1014,3084,194514,197598,1.56
November 30 2018,Spokane,WA,Truck,1,0,1,93641,93642,0.00
January 31 2022,Mason,WA,Truck,0,0,0,21155,21155,0.00
September 30 2017,Sacramento,CA,Passenger,1,1,2,346,348,0.57
June 30 2022,Walla Walla,WA,Passenger,172,100,272,35878,36150,0.75
September 30 2017,Franklin,WA,Passenger,29,48,77,56174,56251,0.14
October 31 2021,Hamilton,OH,Passenger,1,0,1,42,43,2.33
March 31 2020,Hawaii,HI,Passenger,1,0,1,63,64,1.56
April 30 2022,Kitsap,WA,Passenger,2324,1020,3344,178648,181992,1.84
May 31 2023,Franklin,WA,Passenger,301,137,438,61988,62426,0.70
October 31 2023,Spokane,WA,Truck,48,0,48,101828,101876,0.05
December 31 2019,Harford,MD,Passenger,0,1,1,60,61,1.64
September 30 2023,Chesterfield,VA,Passenger,1,0,1,35,36,2.78
February 29 2024,Miami-Dade,FL,Passenger,1,0,1,53,54,1.85
September 30 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
